model,thread_count,num_workers,total_time_sec,avg_epoch_sec,throughput_img_s,accuracy,f1_macro,precision_macro,recall_macro,auc_roc,cpu_util_pct,peak_memory_mb,speedup,efficiency,serial_fraction
resnet50,1,0,13413.113394774497,894.1988109260798,2.346211433078627,1.0,1.0,1.0,1.0,1.0,0.9221051033574623,3998.8203125,1.0,1.0,0.0
resnet50,2,0,11101.239043302834,740.0699138695995,2.8348186970161002,1.0,1.0,1.0,1.0,1.0,1.8038480931128698,4745.01953125,1.208253722170443,0.6041268610852215,0.6552814721789608
resnet50,4,0,9818.299040876329,654.5453740562002,3.2052395093062023,1.0,1.0,1.0,1.0,1.0,3.563733310524686,4828.55859375,1.366134127605194,0.3415335319012985,0.6426567297146049
resnet50,7,0,9280.514904245734,618.6947189460199,3.3909756435607705,1.0,1.0,1.0,1.0,1.0,6.202557356887228,5195.4453125,1.44529840565615,0.20647120080802142,0.6405484123100602
resnet50,14,0,8764.891732305288,584.3197726582488,3.590460779339593,1.0,1.0,1.0,1.0,1.0,12.36233690239179,5220.47265625,1.5303227700277207,0.10930876928769433,0.6267997572497226
resnet50,28,0,8589.215778715909,572.6086564386884,3.6638967759993544,1.0,1.0,1.0,1.0,1.0,24.674201830332088,5755.1484375,1.5616225905061338,0.05577223537521907,0.6270395736252904
resnet50,56,0,8586.427422091365,572.4172031437357,3.6650865899166907,0.9977924944812362,0.9946235283885607,0.9989106753812637,0.9904761904761905,1.0,49.271588856604524,5926.05859375,1.562129711859547,0.02789517342606334,0.6336090097192673
resnet50,112,0,9265.42961473018,617.6885227446754,3.3964965801444325,1.0,1.0,1.0,1.0,1.0,97.33216461490007,6293.59765625,1.4476515339828744,0.012925460124847092,0.6879881517876621
